neuron,category,formula,threshold
261,(scene OR scene OR scene),(bar-s OR wine cellar-barrel storage-s OR wine cellar-bottle storage-s),3.7
262,(object OR scene OR object),(field OR corridor-s OR valley),4.2
263,(object OR part OR part),(skyscraper OR windows OR lid),5.6
264,(scene OR scene OR scene),(alley-s OR restaurant patio-s OR bazaar-indoor-s),4.4
265,(object OR scene OR object),(toilet OR cargo container interior-s OR sink),4.7
266,(scene OR object OR scene),(closet-s OR apparel OR operating room-s),4.2
267,(scene OR scene OR scene),(alley-s OR atrium-public-s OR oast house-s),4.7
268,(object OR object OR scene),(autobus OR truck OR field road-s),4.7
269,(object OR scene OR scene),(cradle OR attic-s OR boxing ring-s),4.0
270,(scene OR scene OR scene),(mountain snowy-s OR zen garden-s OR ice skating rink-indoor-s),4.1
271,(object OR scene OR scene),(aquarium OR amusement arcade-s OR bowling alley-s),4.0
272,(object OR scene OR scene),(bridge OR rope bridge-s OR amusement park-s),5.3
273,(object OR object OR scene),(tent OR rubbish OR rubble-s),3.3
274,(scene OR scene OR scene),(dolmen-s OR pasture-s OR orchard-s),4.7
275,(object OR object OR scene),(rock OR rubbish OR river-s),4.8
276,(scene OR scene OR object),(car interior-backseat-s OR sandbox-s OR dashboard),4.1
277,(object OR scene OR scene),(field OR marsh-s OR badlands-s),3.7
278,(scene OR scene OR scene),(forest-broadleaf-s OR carrousel-s OR forest-needleleaf-s),3.7
279,((object OR object) AND color),((mountain OR sea) AND blue-c),3.8
280,((object AND scene) OR object),((car AND street-s) OR van),6.5
281,(scene OR scene OR object),(supermarket-s OR butchers shop-s OR apparel),4.4
282,((scene AND object) AND NOT color),((street-s AND building) AND NOT black-c),5.4
283,(object OR part OR object),(desk OR top OR kitchen island),4.7
284,(object OR object OR object),(grandstand OR pitch OR tennis court),5.2
285,((scene OR object) AND NOT scene),((attic-s OR pool table) AND NOT poolroom-establishment-s),5.2
286,((object AND color) OR scene),((plant AND green-c) OR greenhouse-indoor-s),4.3
287,(scene OR scene OR scene),(harbor-s OR village-s OR castle-s),4.1
288,(object OR scene OR material),(pool table OR bakery-shop-s OR food),4.8
289,((object AND NOT scene) OR scene),((mountain AND NOT mountain snowy-s) OR cockpit-s),4.4
290,(scene OR object OR scene),(bar-s OR house OR courtroom-s),4.1
291,(object OR scene OR object),(animal OR kennel-indoor-s OR cow),4.2
292,(object OR object OR object),(shelf OR bookcase OR book),4.6
293,((scene AND color) OR object),((bathroom-s AND grey-c) OR dam),4.6
294,(object OR scene OR scene),(house OR fire escape-s OR rubble-s),4.7
295,(scene OR scene OR object),(cockpit-s OR bar-s OR slot machine),4.6
296,(object OR scene OR object),(aqueduct OR viaduct-s OR swivel chair),4.7
297,(object OR scene OR scene),(path OR forest road-s OR forest path-s),6.4
298,((scene OR object) AND NOT scene),((sauna-s OR folding door) AND NOT bedroom-s),4.7
299,(scene OR scene OR scene),(gymnasium-indoor-s OR bowling alley-s OR jacuzzi-indoor-s),4.7
300,(scene OR scene OR object),(gas station-s OR roundabout-s OR lighthouse),4.6
301,(scene OR scene OR scene),(beach-s OR boathouse-s OR islet-s),4.7
302,(object OR scene OR scene),(mountain OR cavern-indoor-s OR badlands-s),4.7
303,(scene OR object OR scene),(archive-s OR toilet OR bank vault-s),4.7
304,(scene OR object OR scene),(forest-broadleaf-s OR waterfall OR forest-needleleaf-s),4.5
305,(object OR object OR scene),(pool table OR plane OR landing deck-s),5.8
306,(scene OR scene OR object),(castle-s OR moat-dry-s OR ruins),4.5
307,(object OR scene OR scene),(bridge OR cloister-indoor-s OR covered bridge-interior-s),4.1
308,(object OR scene OR scene),(washer OR laundromat-s OR viaduct-s),5.6
309,(scene OR object OR object),(greenhouse-indoor-s OR greenhouse OR playground),4.4
310,(object OR object OR object),(sink OR toilet OR bathtub),8.1
311,(object OR scene OR scene),(hovel OR barn-s OR cavern-indoor-s),3.6
312,(scene OR scene OR scene),(cemetery-s OR computer room-s OR call center-s),4.7
313,(scene OR scene OR scene),(tower-s OR water tower-s OR amusement park-s),4.0
314,(scene OR scene OR scene),(corridor-s OR castle-s OR gymnasium-indoor-s),4.1
315,(scene OR object OR scene),(roundabout-s OR railroad train OR parking lot-s),3.9
316,(scene OR scene OR scene),(lighthouse-s OR church-indoor-s OR industrial park-s),4.7
317,(object OR object OR object),(computer OR television OR fireplace),5.3
318,((scene OR scene) AND NOT color),((kitchen-s OR galley-s) AND NOT orange-c),5.8
319,(object OR scene OR object),(plane OR carrousel-s OR fountain),4.5
320,(scene OR object OR scene),(cemetery-s OR hovel OR oast house-s),3.8
321,(scene OR scene OR object),(ball pit-s OR orchard-s OR inflatable bounce game),3.3
322,(scene OR scene OR object),(garage-indoor-s OR parking garage-indoor-s OR court),4.8
323,((object AND NOT color) OR scene),((mountain AND NOT black-c) OR butte-s),3.8
324,((object AND NOT color) OR scene),((person AND NOT black-c) OR beer garden-s),3.2
325,(object OR part OR scene),(fireplace OR headboard OR parlor-s),5.0
326,(scene OR object OR scene),(creek-s OR waterfall OR waterfall-cascade-s),6.5
327,(scene OR scene OR scene),(waiting room-s OR orchard-s OR office building-s),5.1
328,(object OR scene OR object),(pool table OR boxing ring-s OR table tennis),5.4
329,(object OR scene OR object),(apparel OR dolmen-s OR pool table),3.8
330,((scene OR object) AND NOT object),((conference room-s OR computer) AND NOT wall),3.6
331,(scene OR scene OR scene),(forest-broadleaf-s OR elevator-interior-s OR elevator-door-s),4.3
332,(scene OR object OR scene),(ocean-s OR pool table OR desert-vegetation-s),4.2
333,(scene OR scene OR scene),(gazebo-exterior-s OR bowling alley-s OR theater-indoor procenium-s),4.2
334,(object OR scene OR scene),(water OR creek-s OR waterfall-cascade-s),4.4
335,(scene OR scene OR scene),(pasture-s OR orchard-s OR corral-s),4.6
336,(object OR object OR scene),(water OR pool table OR harbor-s),5.4
337,(scene OR scene OR object),(art gallery-s OR art school-s OR blackboard),4.4
338,(scene OR scene OR object),(ice skating rink-indoor-s OR sandbox-s OR court),3.7
339,(scene OR object OR scene),(jacuzzi-indoor-s OR swimming pool OR jacuzzi-outdoor-s),4.0
340,((object AND NOT color) OR object),((sea AND NOT black-c) OR lighthouse),6.8
341,(scene OR scene OR part),(warehouse-indoor-s OR excavation-s OR crosswalk),4.7
342,((object AND NOT color) OR scene),((tree AND NOT black-c) OR cemetery-s),5.0
343,(scene OR scene OR object),(reception-s OR witness stand-s OR kitchen island),5.2
344,(object OR scene OR scene),(autobus OR subway station-corridor-s OR escalator-indoor-s),3.9
345,(object OR scene OR scene),(case OR pantry-s OR fastfood restaurant-s),4.4
346,(object OR scene OR scene),(palm OR amusement park-s OR islet-s),3.8
347,((object AND NOT scene) OR scene),((mountain AND NOT mountain snowy-s) OR hill-s),4.0
348,(scene OR scene OR object),(window seat-s OR dolmen-s OR kitchen island),3.8
349,(scene OR scene OR object),(shoe shop-s OR closet-s OR aqueduct),4.3
350,(scene AND NOT (object OR object)),(bathroom-s AND NOT (door OR curtain)),5.7
351,(scene OR scene OR scene),(desert-sand-s OR lighthouse-s OR vineyard-s),3.7
352,(scene OR scene OR object),(airport terminal-s OR parking garage-indoor-s OR service station),3.9
353,((scene OR object) AND NOT object),((closet-s OR cradle) AND NOT wall),4.9
354,((object AND scene) OR scene),((tree AND street-s) OR tower-s),4.4
355,(scene OR scene OR scene),(classroom-s OR kindergarden classroom-s OR lecture room-s),4.3
356,(object OR scene OR scene),(rock OR zen garden-s OR topiary garden-s),4.1
357,(scene OR scene OR scene),(reception-s OR lobby-s OR ballroom-s),4.7
358,(scene OR object OR scene),(nursery-s OR pool table OR gas station-s),4.3
359,(object OR scene OR scene),(pool table OR golf course-s OR fairway-s),5.0
360,(scene OR scene OR part),(cathedral-indoor-s OR church-indoor-s OR crosswalk),4.5
361,(scene OR scene OR scene),(auditorium-s OR archive-s OR bank vault-s),3.8
362,((color AND scene) OR scene),((blue-c AND skyscraper-s) OR bowling alley-s),4.4
363,(scene OR scene OR scene),(wheat field-s OR corn field-s OR sandbar-s),3.8
364,((scene AND object) OR scene),((conference room-s AND table) OR greenhouse-indoor-s),4.5
365,(object OR scene OR scene),(person OR volleyball court-outdoor-s OR ski slope-s),4.4
366,(scene OR scene OR object),(airport terminal-s OR supermarket-s OR signboard),4.4
367,(scene OR scene OR scene),(corridor-s OR medina-s OR cloister-indoor-s),4.1
368,(scene OR object OR object),(windmill-s OR fan OR windmill),4.4
369,(scene OR object OR object),(nursery-s OR railing OR playground),4.4
370,(scene OR scene OR scene),(ball pit-s OR playroom-s OR sandbox-s),2.9
371,(scene OR object OR object),(closet-s OR washer OR stove),5.4
372,(object OR scene OR scene),(rubbish OR rubble-s OR junkyard-s),3.9
373,((color AND object) OR scene),((yellow-c AND wall) OR corridor-s),4.8
374,(scene OR object OR scene),(ice skating rink-indoor-s OR sink OR ice cream parlor-s),4.6
375,(object OR part OR scene),(case OR shop window OR butchers shop-s),3.5
376,(scene OR scene OR object),(subway interior-s OR airplane cabin-s OR washer),4.4
377,(object OR scene OR scene),(pool table OR elevator-door-s OR archive-s),3.6
378,(object OR scene OR object),(bridge OR viaduct-s OR aqueduct),4.8
379,(scene OR scene OR object),(gymnasium-indoor-s OR music studio-s OR swivel chair),4.2
380,(object OR scene OR object),(tent OR cubicle-office-s OR washer),4.9
381,(object OR object OR scene),(house OR pool table OR swimming pool-outdoor-s),4.5
382,((object OR object) AND scene),((bed OR curtain) AND bedroom-s),5.5
383,(scene OR object OR scene),(garage-indoor-s OR washer OR auto showroom-s),4.6
384,(scene OR object OR scene),(closet-s OR apparel OR clothing store-s),5.2
385,(object OR object OR object),(autobus OR railroad train OR truck),3.4
386,(object OR scene OR scene),(hovel OR slum-s OR medina-s),4.0
387,(scene OR scene OR scene),(sauna-s OR barn-s OR fence-s),4.2
388,((object OR object) AND scene),((chair OR table) AND dining room-s),7.0
389,(scene OR scene OR scene),(castle-s OR lighthouse-s OR donjon-s),5.0
390,(scene OR scene OR scene),(amusement park-s OR planetarium-outdoor-s OR geodesic dome-outdoor-s),4.5
391,(scene OR scene OR scene),(art gallery-s OR gymnasium-indoor-s OR clothing store-s),4.4
392,(scene OR scene OR object),(shoe shop-s OR hayfield-s OR animal),4.0
393,((object AND color) OR scene),((windowpane AND white-c) OR baseball field-s),4.0
394,(scene OR object OR object),(attic-s OR tent OR dome),5.8
395,(scene OR scene OR scene),(cockpit-s OR bus interior-s OR cubicle-office-s),3.5
396,(scene OR scene OR scene),(closet-s OR shoe shop-s OR clothing store-s),4.2
397,((object AND color) OR part),((windowpane AND white-c) OR sash),5.4
398,(scene OR scene OR object),(elevator shaft-s OR fire escape-s OR escalator),3.4
399,(scene OR scene OR scene),(florist shop-indoor-s OR florist shop-outdoor-s OR jacuzzi-indoor-s),5.7
400,(scene AND NOT (object OR object)),(living room-s AND NOT (wall OR floor)),6.9
401,((object AND scene) AND NOT color),((building AND street-s) AND NOT black-c),4.6
402,(object AND color AND scene),(road AND grey-c AND street-s),4.9
403,(scene OR object OR scene),(desert-sand-s OR tent OR oasis-s),3.7
404,((object OR object) AND NOT scene),((house OR hovel) AND NOT house-s),4.1
405,(scene OR scene OR scene),(gas station-s OR boxing ring-s OR wrestling ring-indoor-s),4.1
406,(scene OR scene OR object),(excavation-s OR auditorium-s OR embankment),4.1
407,(object OR object OR scene),(toilet OR sink OR shower-s),4.1
408,(scene OR scene OR scene),(corridor-s OR hallway-s OR cloister-indoor-s),4.5
409,(scene OR scene OR scene),(art gallery-s OR ballroom-s OR martial arts gym-s),5.1
410,(scene OR scene OR scene),(mountain snowy-s OR ski resort-s OR forest-needleleaf-s),4.6
411,((object AND scene) OR object),((bed AND bedroom-s) OR pillow),5.0
412,(object OR object OR scene),(pool table OR machine OR auto factory-s),4.9
413,(scene OR object OR object),(mosque-outdoor-s OR court OR tennis court),4.7
414,(scene OR scene OR object),(auditorium-s OR movie theater-indoor-s OR computer),4.2
415,(scene OR scene OR object),(pagoda-s OR parking garage-outdoor-s OR autobus),4.0
416,(scene OR object OR object),(beach-s OR sand OR palm),4.6
