neuron,category,formula,threshold
499,((object AND NOT part) OR object),((sofa AND NOT outside arm) OR cushion),6.4
500,(scene OR scene OR scene),(cemetery-s OR ruin-s OR industrial area-s),4.4
501,(object OR object OR object),(washer OR water tower OR windmill),4.7
502,(object OR object OR object),(book OR bookcase OR apparel),4.5
503,((scene AND object) OR object),((kitchen-s AND wall) OR stove),5.6
504,(object OR object OR scene),(rock OR waterfall OR creek-s),3.8
505,(scene OR scene OR object),(bullring-s OR sandbox-s OR hot tub),4.4
506,(scene OR scene OR scene),(bow window-outdoor-s OR gazebo-exterior-s OR shopfront-s),3.8
507,((object AND color) AND NOT scene),((building AND brown-c) AND NOT building facade-s),4.4
508,(object OR object OR object),(computer OR stove OR television),6.5
509,(scene OR scene OR scene),(medina-s OR slum-s OR junkyard-s),3.6
510,(scene OR scene OR object),(dam-s OR waterfall-block-s OR greenhouse),4.1
511,((object OR scene) AND NOT scene),((car OR hospital-s) AND NOT street-s),5.1
